Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1
2016-04-09,,,0.0,,,,,,,,,,,,
2016-04-10,,,0.0,,,,,,,,,,,,
2016-04-11,,,0.0,,,,,,,,,,,,
2016-04-12,,,0.0,,,,,,,,,,,,
2016-04-13,,,0.008333333333333333,,,,,,,,,,,,
2016-04-14,,,0.008333333333333333,,,,,,,,,,,,
2016-04-15,,,0.0,,,,,,,,,,,,
2016-04-16,,,0.0,,,,,,,,,,,,
2016-04-17,,,0.0,,,,,,,,,,,,
2016-04-18,,,0.0,,,,,,,,,,,,
2016-04-19,,,0.15833333333333333,,,,,,,,,,,,
2016-04-20,,,0.0,,,,,,,,,,,,
2016-04-21,,,0.0,,,,,,,,,,,,
2016-04-22,,,0.0,,,,,,,,,,,,
2016-04-23,,,0.0,,,,,,,,,,,,
2016-04-24,,,0.17500000000000004,,,,,,,,,,,,
2016-04-25,,,0.38333333333333336,,,,,,,,,,,,
2016-04-26,,,0.0,,,,,,,,,,,,
2016-04-27,,,0.0,,,,,,,,,,,,
2016-04-28,,,0.20833333333333334,,,,,,,,,,,,
2016-04-29,,,0.20833333333333334,,,,,,,,,,,,
2016-04-30,,,0.0,,,,,,,,,,,,
2016-05-01,,,0.3,,,,,,,,,,,,
2016-05-02,,,0.19166666666666668,,,,,,,,,,,,
2016-05-03,,,0.016666666666666666,,,,,,,,,,,,
2016-05-04,,,0.075,,,,,,,,,,,,
2016-05-05,,,0.016666666666666666,,,,,,,,,,,,
2016-05-06,,,0.0,,,,,,,,,,,,
2016-05-07,,,0.008333333333333333,,,,,,,,,,,,
2016-05-08,,,0.008333333333333333,,,,,,,,,,,,
2016-05-09,,,0.0,,,,,,,,,,,,
2016-05-10,,,0.2083333333333333,,,,,,,,,,,,
2016-05-11,,,0.08333333333333333,,,,,,,,,,,,
2016-05-12,,,0.425,,,,,,,,,,,,
2016-05-13,,,0.06666666666666667,,,,,,,,,,,,
2016-05-14,,,0.016666666666666666,,,,,,,,,,,,
2016-05-15,,,0.05833333333333333,,,,,,,,,,,,
2016-05-16,,,0.0,,,,,,,,,,,,
2016-05-17,,,0.0,,,,,,,,,,,,
2016-05-18,,,0.0,,,,,,,,,,,,
2016-05-19,,,0.0,,,,,,,,,,,,
2016-05-20,,,0.0,,,,,,,,,,,,
2016-05-21,,,0.0,,,,,,,,,,,,
2016-05-22,,,0.0,,,,,,,,,,,,
2016-05-23,,,0.0,,,,,,,,,,,,
2016-05-24,,,0.041666666666666664,,,,,,,,,,,,
2016-05-25,,,0.19999999999999998,,,,,,,,,,,,
2016-05-26,,,0.05833333333333333,,,,,,,,,,,,
2016-05-27,,,0.0,,,,,,,,,,,,
2016-05-28,,,0.0,,,,,,,,,,,,
2016-05-29,,,0.0,,,,,,,,,,,,
2016-05-30,,,0.17500000000000002,,,,,,,,,,,,
2016-05-31,,,0.008333333333333333,,,,,,,,,,,,
2016-06-01,,,0.6833333333333335,,,,,,,,,,,,
2016-06-02,,,0.6833333333333335,,,,,,,,,,,,
2016-06-03,,,0.008333333333333333,,,,,,,,,,,,
2016-06-04,,,0.008333333333333333,,,,,,,,,,,,
2016-06-05,,,0.0,,,,,,,,,,,,
2016-06-06,,,0.06666666666666667,,,,,,,,,,,,
2016-06-07,,,0.0,,,,,,,,,,,,
2016-06-08,,,0.0,,,,,,,,,,,,
2016-06-09,,,0.0,,,,,,,,,,,,
2016-06-10,,,0.016666666666666666,,,,,,,,,,,,
2016-06-11,,,0.03333333333333333,,,,,,,,,,,,
2016-06-12,,,0.7499999999999999,,,,,,,,,,,,
2016-06-13,,,0.15833333333333333,,,,,,,,,,,,
2016-06-14,,,0.0,,,,,,,,,,,,
2016-06-15,,,0.0,,,,,,,,,,,,
2016-06-16,,,0.008333333333333333,,,,,,,,,,,,
2016-06-17,,,0.016666666666666666,,,,,,,,,,,,
2016-06-18,,,0.0,,,,,,,,,,,,
2016-06-19,,,0.3,,,,,,,,,,,,
2016-06-20,,,0.008333333333333333,,,,,,,,,,,,
2016-06-21,,,0.0,,,,,,,,,,,,
2016-06-22,,,0.0,,,,,,,,,,,,
2016-06-23,,,0.39166666666666666,,,,,,,,,,,,
2016-06-24,,,0.008333333333333333,,,,,,,,,,,,
2016-06-25,,,0.0,,,,,,,,,,,,
2016-06-26,,,0.0,,,,,,,,,,,,
2016-06-27,,,1.425,,,,,,,,,,,,
2016-06-28,,,0.025000000000000005,,,,,,,,,,,,
2016-06-29,,,0.0,,,,,,,,,,,,
2016-06-30,,,0.0,,,,,,,,,,,,
2016-07-01,,,0.0,,,,,,,,,,,,
2016-07-02,,,0.0,,,,,,,,,,,,
2016-07-03,,,0.0,,,,,,,,,,,,
2016-07-04,,,0.0,,,,,,,,,,,,
2016-07-05,,,0.024999999999999998,,,,,,,,,,,,
2016-07-06,,,0.0,,,,,,,,,,,,
2016-07-07,,,0.0,,,,,,,,,,,,
2016-07-08,,,0.0,,,,,,,,,,,,
2016-07-09,,,0.0,,,,,,,,,,,,
2016-07-10,,,0.0,,,,,,,,,,,,
2016-07-11,,,0.0,,,,,,,,,,,,
2016-07-12,,,0.0,,,,,,,,,,,,
2016-07-13,,,0.0,,,,,,,,,,,,
2016-07-14,,,0.0,,,,,,,,,,,,
2016-07-15,,,0.8916666666666666,,,,,,,,,,,,
2016-07-16,,,1.6000000000000003,,,,,,,,,,,,
2016-07-17,,,0.008333333333333333,,,,,,,,,,,,
2016-07-18,,,0.0,,,,,,,,,,,,
2016-07-19,,,0.0,,,,,,,,,,,,
2016-07-20,,,0.0,,,,,,,,,,,,
2016-07-21,,,0.0,,,,,,,,,,,,
2016-07-22,,,0.0,,,,,,,,,,,,
2016-07-23,,,0.016666666666666666,,,,,,,,,,,,
2016-07-24,,,0.0,,,,,,,,,,,,
2016-07-25,,,0.0,,,,,,,,,,,,
2016-07-26,,,0.10833333333333334,,,,,,,,,,,,
2016-07-27,,,0.0,,,,,,,,,,,,
2016-07-28,,,0.125,,,,,,,,,,,,
2016-07-29,,,0.008333333333333333,,,,,,,,,,,,
2016-07-30,,,0.0,,,,,,,,,,,,
2016-07-31,,,0.0,,,,,,,,,,,,
2016-08-01,,,0.0,,,,,,,,,,,,
2016-08-02,,,1.4000000000000004,,,,,,,,,,,,
2016-08-03,,,0.0,,,,,,,,,,,,
2016-08-04,,,0.0,,,,,,,,,,,,
2016-08-05,,,0.0,,,,,,,,,,,,
2016-08-06,,,0.15,,,,,,,,,,,,
2016-08-07,,,0.008333333333333333,,,,,,,,,,,,
2016-08-08,,,0.0,,,,,,,,,,,,
2016-08-09,,,0.0,,,,,,,,,,,,
2016-08-10,,,0.10833333333333334,,,,,,,,,,,,
2016-08-11,,,0.09999999999999999,,,,,,,,,,,,
2016-08-12,,,0.008333333333333333,,,,,,,,,,,,
2016-08-13,,,0.008333333333333333,,,,,,,,,,,,
2016-08-14,,,0.0,,,,,,,,,,,,
2016-08-15,,,0.0,,,,,,,,,,,,
2016-08-16,,,0.0,,,,,,,,,,,,
2016-08-17,,,0.0,,,,,,,,,,,,
2016-08-18,,,0.008333333333333333,,,,,,,,,,,,
2016-08-19,,,0.008333333333333333,,,,,,,,,,,,
2016-08-20,,,0.0,,,,,,,,,,,,
2016-08-21,,,0.0,,,,,,,,,,,,
2016-08-22,,,0.44999999999999996,,,,,,,,,,,,
2016-08-23,,,0.0,,,,,,,,,,,,
2016-08-24,,,0.008333333333333333,,,,,,,,,,,,
2016-08-25,,,0.0,,,,,,,,,,,,
2016-08-26,,,0.0,,,,,,,,,,,,
2016-08-27,,,0.0,,,,,,,,,,,,
2016-08-28,,,0.0,,,,,,,,,,,,
2016-08-29,,,0.0,,,,,,,,,,,,
2016-08-30,,,0.0,,,,,,,,,,,,
2016-08-31,,,0.0,,,,,,,,,,,,
2016-09-01,,,0.0,,,,,,,,,,,,
2016-09-02,,,0.0,,,,,,,,,,,,
2016-09-03,,,0.0,,,,,,,,,,,,
2016-09-04,,,0.0,,,,,,,,,,,,
2016-09-05,,,0.5166666666666667,,,,,,,,,,,,
2016-09-06,,,0.0,,,,,,,,,,,,
2016-09-07,,,0.0,,,,,,,,,,,,
2016-09-08,,,0.0,,,,,,,,,,,,
2016-09-09,,,0.0,,,,,,,,,,,,
2016-09-10,,,0.0,,,,,,,,,,,,
2016-09-11,,,0.0,,,,,,,,,,,,
2016-09-12,,,0.0,,,,,,,,,,,,
2016-09-13,,,0.525,,,,,,,,,,,,
2016-09-14,,,0.008333333333333333,,,,,,,,,,,,
2016-09-15,,,0.0,,,,,,,,,,,,
2016-09-16,,,0.0,,,,,,,,,,,,
2016-09-17,,,0.0,,,,,,,,,,,,
2016-09-18,,,0.06666666666666667,,,,,,,,,,,,
2016-09-19,,,0.39166666666666666,,,,,,,,,,,,
2016-09-20,,,0.10000000000000002,,,,,,,,,,,,
2016-09-21,,,0.0,,,,,,,,,,,,
2016-09-22,,,0.19166666666666668,,,,,,,,,,,,
2016-09-23,,,0.0,,,,,,,,,,,,
2016-09-24,,,0.008333333333333333,,,,,,,,,,,,
2016-09-25,,,0.0,,,,,,,,,,,,
2016-09-26,,,0.0,,,,,,,,,,,,
2016-09-27,,,0.0,,,,,,,,,,,,
2016-09-28,,,0.0,,,,,,,,,,,,
2016-09-29,,,0.0,,,,,,,,,,,,
2016-09-30,,,0.0,,,,,,,,,,,,
2016-10-01,,,0.0,,,,,,,,,,,,
2016-10-02,,,0.15,,,,,,,,,,,,
2016-10-03,,,0.1416666666666667,,,,,,,,,,,,
2016-10-04,,,0.03333333333333333,,,,,,,,,,,,
2016-10-05,,,0.0,,,,,,,,,,,,
2016-10-06,,,0.0,,,,,,,,,,,,
2016-10-07,,,0.0,,,,,,,,,,,,
2016-10-08,,,0.0,,,,,,,,,,,,
2016-10-09,,,0.0,,,,,,,,,,,,
2016-10-10,,,0.03333333333333333,,,,,,,,,,,,
2016-10-11,,,0.10000000000000002,,,,,,,,,,,,
2016-10-12,,,0.9166666666666665,,,,,,,,,,,,
2016-10-13,,,0.0,,,,,,,,,,,,
2016-10-14,,,0.0,,,,,,,,,,,,
2016-10-15,,,0.11666666666666668,,,,,,,,,,,,
2016-10-16,,,0.09999999999999999,,,,,,,,,,,,
2016-10-17,,,0.0,,,,,,,,,,,,
2016-10-18,,,0.0,,,,,,,,,,,,
2016-10-19,,,0.0,,,,,,,,,,,,
2016-10-20,,,0.0,,,,,,,,,,,,
2016-10-21,,,0.4166666666666667,,,,,,,,,,,,
2016-10-22,,,0.13333333333333333,,,,,,,,,,,,
2016-10-23,,,0.0,,,,,,,,,,,,
2016-10-24,,,0.008333333333333333,,,,,,,,,,,,
2016-10-25,,,0.0,,,,,,,,,,,,
2016-10-26,,,0.15833333333333333,,,,,,,,,,,,
2016-10-27,,,0.0,,,,,,,,,,,,
2016-10-28,,,0.0,,,,,,,,,,,,
2016-10-29,,,0.05833333333333333,,,,,,,,,,,,
2016-10-30,,,0.0,,,,,,,,,,,,
2016-10-31,,,0.0,,,,,,,,,,,,
2016-11-01,,,0.08333333333333333,,,,,,,,,,,,
2016-11-02,,,0.049999999999999996,,,,,,,,,,,,
2016-11-03,,,0.06666666666666667,,,,,,,,,,,,
2016-11-04,,,0.25,,,,,,,,,,,,
2016-11-05,,,0.024999999999999998,,,,,,,,,,,,
2016-11-06,,,0.016666666666666666,,,,,,,,,,,,
2016-11-07,,,0.008333333333333333,,,,,,,,,,,,
2016-11-08,,,0.024999999999999998,,,,,,,,,,,,
2016-11-09,,,0.14166666666666666,,,,,,,,,,,,
2016-11-10,,,0.0,,,,,,,,,,,,
2016-11-11,,,0.0,,,,,,,,,,,,
2016-11-12,,,0.008333333333333333,,,,,,,,,,,,
2016-11-13,,,0.0,,,,,,,,,,,,
2016-11-14,,,0.0,,,,,,,,,,,,
2016-11-15,,,0.025000000000000005,,,,,,,,,,,,
2016-11-16,,,0.0,,,,,,,,,,,,
2016-11-17,,,0.0,,,,,,,,,,,,
2016-11-18,,,0.0,,,,,,,,,,,,
2016-11-19,,,0.0,,,,,,,,,,,,
2016-11-20,,,0.0,,,,,,,,,,,,
2016-11-21,,,0.0,,,,,,,,,,,,
2016-11-22,,,0.016666666666666666,,,,,,,,,,,,
2016-11-23,,,0.0,,,,,,,,,,,,
2016-11-24,,,0.0,,,,,,,,,,,,
2016-11-25,,,0.0,,,,,,,,,,,,
2016-11-26,,,0.0,,,,,,,,,,,,
2016-11-27,,,0.17500000000000002,,,,,,,,,,,,
2016-11-28,,,0.0,,,,,,,,,,,,
2016-11-29,,,0.0,,,,,,,,,,,,
2016-11-30,,,0.0,,,,,,,,,,,,
2016-12-01,,,0.0,,,,,,,,,,,,
2016-12-02,,,0.0,,,,,,,,,,,,
2016-12-03,,,0.0,,,,,,,,,,,,
2016-12-04,,,0.008333333333333333,,,,,,,,,,,,
2016-12-05,,,0.008333333333333333,,,,,,,,,,,,
2016-12-06,,,0.0,,,,,,,,,,,,
2016-12-07,,,0.0,,,,,,,,,,,,
2016-12-08,,,0.0,,,,,,,,,,,,
2016-12-09,,,0.008333333333333333,,,,,,,,,,,,
2016-12-10,,,0.0,,,,,,,,,,,,
2016-12-11,,,0.008333333333333333,,,,,,,,,,,,
2016-12-12,,,0.0,,,,,,,,,,,,
2016-12-13,,,0.0,,,,,,,,,,,,
2016-12-14,,,0.0,,,,,,,,,,,,
2016-12-15,,,,,,,,,,,,,,,
2016-12-16,,,,,,,,,,,,,,,
2016-12-17,,,,,,,,,,,,,,,
2016-12-18,,,,,,,,,,,,,,,
2016-12-19,,,,,,,,,,,,,,,
2016-12-20,,,,,,,,,,,,,,,
2016-12-21,,,,,,,,,,,,,,,
2016-12-22,,,,,,,,,,,,,,,
2016-12-23,,,,,,,,,,,,,,,
2016-12-24,,,,,,,,,,,,,,,
2016-12-25,,,,,,,,,,,,,,,
2016-12-26,,,,,,,,,,,,,,,
2016-12-27,,,,,,,,,,,,,,,
2016-12-28,,,,,,,,,,,,,,,
2016-12-29,,,,,,,,,,,,,,,
2016-12-30,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,
2017-01-02,,,,,,,,,,,,,,,
2017-01-03,,,,,,,,,,,,,,,
2017-01-04,,,,,,,,,,,,,,,
2017-01-05,,,,,,,,,,,,,,,
2017-01-06,,,,,,,,,,,,,,,
2017-01-07,,,,,,,,,,,,,,,
2017-01-08,,,,,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,,
2017-01-10,,,,,,,,,,,,,,,
2017-01-11,,,,,,,,,,,,,,,
2017-01-12,,,,,,,,,,,,,,,
2017-01-13,,,,,,,,,,,,,,,
2017-01-14,,,,,,,,,,,,,,,
2017-01-15,,,,,,,,,,,,,,,
2017-01-16,,,,,,,,,,,,,,,
2017-01-17,,,,,,,,,,,,,,,
2017-01-18,,,,,,,,,,,,,,,
2017-01-19,,,,,,,,,,,,,,,
2017-01-20,,,,,,,,,,,,,,,
2017-01-21,,,,,,,,,,,,,,,
2017-01-22,,,,,,,,,,,,,,,
2017-01-23,,,,,,,,,,,,,,,
2017-01-24,,,,,,,,,,,,,,,
2017-01-25,,,,,,,,,,,,,,,
2017-01-26,,,,,,,,,,,,,,,
2017-01-27,,,,,,,,,,,,,,,
2017-01-28,,,,,,,,,,,,,,,
2017-01-29,,,,,,,,,,,,,,,
2017-01-30,,,,,,,,,,,,,,,
2017-01-31,,,,,,,,,,,,,,,
2017-02-01,,,0.0,,,,,,,,,,,,
2017-02-02,,,0.0,,,,,,,,,,,,
2017-02-03,,,0.0,,,,,,,,,,,,
2017-02-04,,,0.0,,,,,,,,,,,,
2017-02-05,,,0.0,,,,,,,,,,,,
2017-02-06,,,0.0,,,,,,,,,,,,
2017-02-07,,,0.18,,,,,,,,,,,,
2017-02-08,,,0.016666666666666666,,,,,,,,,,,,
2017-02-09,,,0.0,,,,,,,,,,,,
2017-02-10,,,0.0,,,,,,,,,,,,
2017-02-11,,,0.0,,,,,,,,,,,,
2017-02-12,,,0.0,,,,,,,,,,,,
2017-02-13,,,0.0,,,,,,,,,,,,
2017-02-14,,,0.0,,,,,,,,,,,,
2017-02-15,,,0.0,,,,,,,,,,,,
2017-02-16,,,0.0,,,,,,,,,,,,
2017-02-17,,,0.008333333333333333,,,,,,,,,,,,
2017-02-18,,,0.0,,,,,,,,,,,,
2017-02-19,,,0.0,,,,,,,,,,,,
2017-02-20,,,0.0,,,,,,,,,,,,
2017-02-21,,,0.0,,,,,,,,,,,,
2017-02-22,,,0.016666666666666666,,,,,,,,,,,,
2017-02-23,,,0.041666666666666664,,,,,,,,,,,,
2017-02-24,,,0.22499999999999998,,,,,,,,,,,,
2017-02-25,,,0.03333333333333333,,,,,,,,,,,,
2017-02-26,,,0.0,,,,,,,,,,,,
2017-02-27,,,0.0,,,,,,,,,,,,
2017-02-28,,,0.0,,,,,,,,,,,,
2017-03-01,,,0.17500000000000002,,,,,,,,,,,,
2017-03-02,,,0.0,,,,,,,,,,,,
2017-03-03,,,0.008333333333333333,,,,,,,,,,,,
2017-03-04,,,0.0,,,,,,,,,,,,
2017-03-05,,,0.041666666666666664,,,,,,,,,,,,
2017-03-06,,,0.041666666666666664,,,,,,,,,,,,
2017-03-07,,,0.17500000000000002,,,,,,,,,,,,
2017-03-08,,,0.09166666666666667,,,,,,,,,,,,
2017-03-09,,,0.0,,,,,,,,,,,,
2017-03-10,,,0.041666666666666664,,,,,,,,,,,,
2017-03-11,,,0.0,,,,,,,,,,,,
2017-03-12,,,0.06666666666666667,,,,,,,,,,,,
2017-03-13,,,0.0,,,,,,,,,,,,
2017-03-14,,,0.0,,,,,,,,,,,,
2017-03-15,,,0.0,,,,,,,,,,,,
2017-03-16,,,0.0,,,,,,,,,,,,
2017-03-17,,,0.0,,,,,,,,,,,,
2017-03-18,,,0.0,,,,,,,,,,,,
2017-03-19,,,0.11666666666666668,,,,,,,,,,,,
2017-03-20,,,0.0,,,,,,,,,,,,
2017-03-21,,,0.0,,,,,,,,,,,,
2017-03-22,,,0.0,,,,,,,,,,,,
2017-03-23,,,0.0,,,,,,,,,,,,
2017-03-24,,,0.0,,,,,,,,,,,,
2017-03-25,,,0.0,,,,,,,,,,,,
2017-03-26,,,0.0,,,,,,,,,,,,
2017-03-27,,,0.0,,,,,,,,,,,,
2017-03-28,,,0.0,,,,,,,,,,,,
2017-03-29,,,0.0,,,,,,,,,,,,
2017-03-30,,,0.0,,,,,,,,,,,,
2017-03-31,,,0.0,,,,,,,,,,,,
2017-04-01,,,0.0,,,,,,,,,,,,
2017-04-02,,,0.0,,,,,,,,,,,,
2017-04-03,,,0.0,,,,,,,,,,,,
2017-04-04,,,0.0,,,,,,,,,,,,
2017-04-05,,,0.0,,,,,,,,,,,,
2017-04-06,,,0.06666666666666667,,,,,,,,,,,,
2017-04-07,,,0.0,,,,,,,,,,,,
2017-04-08,,,0.0,,,,,,,,,,,,
2017-04-09,,,0.0,,,,,,,,,,,,
2017-04-10,,,0.0,,,,,,,,,,,,
2017-04-11,,,0.0,,,,,,,,,,,,
2017-04-12,,,0.0,,,,,,,,,,,,
2017-04-13,,,0.0,,,,,,,,,,,,
2017-04-14,,,0.0,,,,,,,,,,,,
2017-04-15,,,0.0,,,,,,,,,,,,
2017-04-16,,,0.016666666666666666,,,,,,,,,,,,
2017-04-17,,,0.0,,,,,,,,,,,,
2017-04-18,,,0.23333333333333336,,,,,,,,,,,,
2017-04-19,,,0.7166666666666665,,,,,,,,,,,,
2017-04-20,,,0.09166666666666666,,,,,,,,,,,,
2017-04-21,,,0.0,,,,,,,,,,,,
2017-04-22,,,0.0,,,,,,,,,,,,
2017-04-23,,,0.075,,,,,,,,,,,,
2017-04-24,,,0.0,,,,,,,,,,,,
2017-04-25,,,0.0,,,,,,,,,,,,
2017-04-26,,,0.0,,,,,,,,,,,,
2017-04-27,,,0.0,,,,,,,,,,,,
2017-04-28,,,0.0,,,,,,,,,,,,
2017-04-29,,,0.10000000000000002,,,,,,,,,,,,
2017-04-30,,,0.008333333333333333,,,,,,,,,,,,
2017-05-01,,,0.0,,,,,,,,,,,,
2017-05-02,,,0.0,,,,,,,,,,,,
2017-05-03,,,0.025000000000000005,,,,,,,,,,,,
2017-05-04,,,0.06666666666666667,,,,,,,,,,,,
